Code Mod,NCIC Category Assignment,Description,NC Non-Facility Rate,NC Facility Rate
G2015,Other professional services,POST-D/C CARE PLAN OVERS 60M,144.42,144.42
G2020,Other professional services,HI INTEN SERV FOR SIP MODEL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2021,Other professional services,HEA CARE PRACT TX IN PLACE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2022,Other professional services,"BENEF REFUSES SERVICE, MOD",UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2025,Other professional services,DIS SITE TELE SVCS RHC/FQHC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2067,Other professional services,MED ASSIST TX METH WK,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2068,Other professional services,MED ASSIST TX BUPRE ORAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2069,Other professional services,MED ASSIST TX INJECT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2073,Other professional services,MED TX NALTREXONE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2074,Other professional services,MED ASSIST TX NO DRUG,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2075,Other professional services,MED TX MEDS NOS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2076,Other professional services,INTAKE ACT W/MED EXAM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2077,Other professional services,PERIODIC ASSESSMENT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2078,Other professional services,TAKE-HOME METH,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2079,Other professional services,TAKE-HOM BUPRENORPHINE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2080,Other professional services,ADD 30 MINS COUNSEL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2081,Other professional services,PT 66+ SNP OR LTC POS > 90D,0.00,0.00
G2082,Other professional services,VISIT ESKETAMINE 56M OR LESS,1148.67,48.36
G2083,Other professional services,"VISIT ESKETAMINE, > 56M",1628.52,48.36
G2086,Other professional services,OFF BASE OPIOID TX 70MIN,653.81,571.13
G2087,Other professional services,"OFF BASE OPIOID TX, 60 M",593.63,538.80
G2088,Other professional services,"OFF BASE OPIOID TX, ADD30",79.26,52.31
G2090,Other professional services,PT 66+ FRAILTY AND MED DEM,0.00,0.00
G2091,Other professional services,PT 66+ FRAILTY AND ADV ILL,0.00,0.00
G2092,Other professional services,ACE ARB ARNI,0.00,0.00
G2093,Other professional services,MED DOC RSN NO ACE ARN ARNI,0.00,0.00
G2094,Other professional services,PT RSN NO ACE ARN ARNI,0.00,0.00
G2096,Other professional services,NO RSN ACE ARB ARNI,0.00,0.00
G2097,Other professional services,DX URI 3D AFTER OTHER DX,0.00,0.00
G2098,Other professional services,PT 66+ FRAILTY AND MED DEM,0.00,0.00
G2099,Other professional services,PT 66+ FRAILTY AND ADV ILL,0.00,0.00
G2100,Other professional services,PT 66+ FRAILTY AND MED DEM,0.00,0.00
G2101,Other professional services,PT 66+ FRAILTY AND ADV ILL,0.00,0.00
G2105,Other professional services,PT 66+ SNP OR LTC POS > 90D,0.00,0.00
G2106,Other professional services,PT 66+ FRAILTY AND MED DEM,0.00,0.00
G2107,Other professional services,PT 66+ FRAILTY AND ADV ILL,0.00,0.00
G2112,Other professional services,PRED<=5 MG RA GLU <6M,0.00,0.00
G2113,Other professional services,"PRED>5 MG >6M, NO CHG DA",0.00,0.00
G2115,Other professional services,PT 66-80 FRAILTY AND MED DEM,0.00,0.00
G2116,Other professional services,PT 66-80 FRAILTY AND ADV ILL,0.00,0.00
G2118,Other professional services,PT 81+ FRAILTY,0.00,0.00
G2121,Other professional services,PSY DEP ANX AP AND ICD ASSE,0.00,0.00
G2122,Other professional services,PSY/DEP/ANX/APANDICD NOASSE,0.00,0.00
G2125,Other professional services,PT 81+ FRAILTY,0.00,0.00
G2126,Other professional services,PT 66-80 FRAILTY AND ADV ILL,0.00,0.00
G2127,Other professional services,PT 66-80 FRAILTY AND MED DEM,0.00,0.00
G2128,Other professional services,NO ASPIRIN MED RSN,0.00,0.00
G2129,Other professional services,NO BP OUTPT,0.00,0.00
G2136,Other professional services,BK PAIN VAS 6-20WK <= 3,0.00,0.00
G2137,Other professional services,BK PAIN VAS 6-20WK > 3,0.00,0.00
G2138,Other professional services,BK PAIN VAS 9-15MO <= 3,0.00,0.00
G2139,Other professional services,BK PAIN VAS 9-15MO > 3,0.00,0.00
G2140,Other professional services,LEG PAIN VAS 6-20WK <= 3,0.00,0.00
G2141,Other professional services,LEG PAIN VAS 6-20WK > 3,0.00,0.00
G2142,Other professional services,FS ODI 9-15MO POSTOP<= 22,0.00,0.00
G2143,Other professional services,FS ODI 9-15MO > 22,0.00,0.00
G2144,Other professional services,FS ODI 6-20WK POSTOP <= 22,0.00,0.00
G2145,Other professional services,FSODI 6-20WK >22 OR CHG 30PT,0.00,0.00
G2146,Other professional services,LEG PAIN VAS 9-15MO <= 3,0.00,0.00
G2147,Other professional services,LEG PAIN VAS 9-15MO > 3,0.00,0.00
G2148,Other professional services,MPM USED,0.00,0.00
G2149,Other professional services,NO MPM MED RSN,0.00,0.00
G2150,Other professional services,NO MPM,0.00,0.00
G2151,Other professional services,DX DEGEN NEURO,0.00,0.00
G2152,Other professional services,RES CHANGE SC >=0,0.00,0.00
G2167,Other professional services,RES CHANGE SC < 0,0.00,0.00
G2168,Other professional services,SVS BY PT IN HOME HEALTH,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2169,Other professional services,SVS BY OT IN HOME HEALTH,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2172,Other professional services,TX FOR OPIOID USE DEMO PROJ,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2173,Other professional services,URI W COMORB 12M OTH DX,0.00,0.00
G2174,Other professional services,URI NEW RX ANTIBIOTIC 30D,0.00,0.00
G2175,Other professional services,PT COMORB DX 12M OF EPI,0.00,0.00
G2176,Other professional services,OUTPT ED OBS W INPT ADMIT,0.00,0.00
G2177,Other professional services,BRONCH W RX ANTIBX 30D,0.00,0.00
G2178,Other professional services,PT NOT ELIG LOW NEURO EX,0.00,0.00
G2179,Other professional services,MED DOC RSN NO LOW EX,0.00,0.00
G2180,Other professional services,INELIG FOOTWR EVAL,0.00,0.00
G2181,Other professional services,BMI NOT DOC MEDRSN PTREF,0.00,0.00
G2182,Other professional services,PT 1ST BIOLOG ANTIRHEUM,0.00,0.00
G2183,Other professional services,DOC PT UNABLE COMM,0.00,0.00
G2184,Other professional services,NO CAREGIVER,0.00,0.00
G2185,Other professional services,CAREGIVER DEM TRAINED,0.00,0.00
G2186,Other professional services,PT REF APP RSRCS,0.00,0.00
G2187,Other professional services,CLIN IND IMG HD TRAUMA,0.00,0.00
G2188,Other professional services,PT 50 YRS W/CLIN IND HD,0.00,0.00
G2189,Other professional services,IMG HD ABNML NEURO EXAM,0.00,0.00
G2190,Other professional services,IND IMG HD RAD NECK,0.00,0.00
G2191,Other professional services,IND IMG HD POS HD ACHE,0.00,0.00
G2192,Other professional services,>55 YRS TEMP HD ACHE,0.00,0.00
G2193,Other professional services,<6YR NEW ONSET HD ACHE,0.00,0.00
G2194,Other professional services,NEW HDACHE PED PT DIS,0.00,0.00
G2195,Other professional services,OCCIP HDACHE CHILD,0.00,0.00
G2196,Other professional services,SCREEN UNHLTHY ETOH USE,0.00,0.00
G2197,Other professional services,SCREEN HLTHY ETOH USE,0.00,0.00
G2199,Other professional services,NOT SCRN ETOH NO RSN,0.00,0.00
G2200,Other professional services,UNHLTHY ETOH RCVD COUNS,0.00,0.00
G2202,Other professional services,NO RSN NO BRIEF COUNS,0.00,0.00
G2204,Other professional services,PT 45-85 W/ SCOPE,0.00,0.00
G2205,Other professional services,PREG DRNG ADJV TRTMT,0.00,0.00
G2206,Other professional services,ADJV TRTMT CHEMO HER2,0.00,0.00
G2207,Other professional services,RSN NO TRTMT CHEM HER2,0.00,0.00
G2208,Other professional services,NO TRTMT CHEMO AND HER2,0.00,0.00
G2209,Other professional services,REFUSED TO PARTICIPATE,0.00,0.00
G2210,Other professional services,NO NECK FS PROM NO RSN,0.00,0.00
G2211,Other professional services,COMPLEX E/M VISIT ADD ON,22.50,22.50
G2212,Other professional services,PROLONG OUTPT/OFFICE VIS,44.82,43.02
G2213,Other professional services,INITIAT MED ASSIST TX IN ER,85.44,79.59
G2214,Other professional services,INIT/SUB PSYCH CARE M 1ST 30,77.75,53.48
G2215,Other professional services,HOME SUPPLY NASAL NALOXONE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2216,Other professional services,HOME SUPPLY INJECT NALOXON,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G2250,Other professional services,"REMOT IMG SUB BY PT, NON E/M",17.15,12.65
G2251,Other professional services,"BRIEF CHKIN, 5-10, NON-E/M",19.97,17.72
G2252,Other professional services,"BRIEF CHKIN BY MD/QHP, 11-20",36.92,35.12
G3002,Pain management,CHRONIC PAIN MGMT 30 MINS,124.96,112.75
G3003,Pain management,CHRONIC PAIN MGMT ADDL 15M,45.84,38.99
G4000,Other professional services,DERMATOLOGY SS,0.00,0.00
G4001,Other professional services,DIAGNOSTIC RAD SS,0.00,0.00
G4002,Other professional services,EP CARDIO SS,0.00,0.00
G4003,Other professional services,EMERGENCY MED SS,0.00,0.00
G4004,Other professional services,ENDOCRINOLOGY SS,0.00,0.00
G4005,Other professional services,FAMILY MEDICINE SS,0.00,0.00
G4006,Other professional services,GASTROENTEROLOGY SS,0.00,0.00
G4007,Other professional services,GENERAL SURGERY SS,0.00,0.00
G4008,Other professional services,GERIATRICS SS,0.00,0.00
G4009,Other professional services,HOSPITALISTS SS,0.00,0.00
G4010,Other professional services,INFECTIOUS DISEASE SS,0.00,0.00
G4011,Other professional services,INTERNAL MEDICINE SS,0.00,0.00
G4012,Other professional services,INTERVENTIONAL RAD SS,0.00,0.00
G4013,Other professional services,MNTAL/BEHAV/PSYCH HLTH SS,0.00,0.00
G4014,Other professional services,NEPHROLOGY SS,0.00,0.00
G4015,Other professional services,NEUROLOGY SS,0.00,0.00
G4016,Other professional services,NEUROSURGICAL SS,0.00,0.00
G4017,Other professional services,NUTRITION/DIETICIAN SS,0.00,0.00
G4018,Other professional services,OB/GYN SS,0.00,0.00
G4019,Other professional services,ONCOLOGY/HEMA SS,0.00,0.00
G4020,Other professional services,OPHTHALMOLOGY/OPTOMETRY SS,0.00,0.00
G4021,Other professional services,ORTHOPEDIC SURGERY SS,0.00,0.00
G4022,Other professional services,OTOLARYNGOLOGY SS,0.00,0.00
G4023,Other professional services,PATHOLOGY SS,0.00,0.00
G4024,Other professional services,PEDIATRIC SS,0.00,0.00
G4025,Other professional services,PHYSICAL MEDICINE SS,0.00,0.00
G4026,Other professional services,PHYS/OCC THERAPY SS,0.00,0.00
G4027,Other professional services,PLASTIC SURGERY SS,0.00,0.00
G4028,Other professional services,PODIATRY SS,0.00,0.00
G4029,Other professional services,PREVENTIVE MEDICINE SS,0.00,0.00
G4030,Other professional services,PULMONOLOGY SS,0.00,0.00
G4031,Other professional services,RADIATION ONCOLOGY SS,0.00,0.00
G4032,Other professional services,RHEUMATOLOGY SS,0.00,0.00
G4033,Other professional services,SKILLED NURSING FACILITY SS,0.00,0.00
G4034,Other professional services,SPEECH LANGUAGE PATH SS,0.00,0.00
G4035,Other professional services,THORACIC SURGERY SS,0.00,0.00
G4036,Other professional services,URGENT CARE SS,0.00,0.00
G4037,Other professional services,UROLOGY SS,0.00,0.00
G4038,Other professional services,VASCULAR SURGERY SS,0.00,0.00
G6001,Other professional services,ECHO GUIDANCE RADIOTHERAPY,240.27,240.27
G6001-26,Other professional services,ECHO GUIDANCE RADIOTHERAPY,44.51,44.51
G6001-TC,Other professional services,ECHO GUIDANCE RADIOTHERAPY,195.77,195.77
G6002,Other professional services,STEREOSCOPIC X-RAY GUIDANCE,103.01,103.01
G6002-26,Other professional services,STEREOSCOPIC X-RAY GUIDANCE,29.01,29.01
G6002-TC,Other professional services,STEREOSCOPIC X-RAY GUIDANCE,74.01,74.01
G6003,Other professional services,RADIATION TREATMENT DELIVERY,203.85,203.85
G6004,Other professional services,RADIATION TREATMENT DELIVERY,165.21,165.21
G6005,Other professional services,RADIATION TREATMENT DELIVERY,165.21,165.21
G6006,Other professional services,RADIATION TREATMENT DELIVERY,164.31,164.31
G6007,Other professional services,RADIATION TREATMENT DELIVERY,293.27,293.27
G6008,Other professional services,RADIATION TREATMENT DELIVERY,227.54,227.54
G6009,Other professional services,RADIATION TREATMENT DELIVERY,229.34,229.34
G6010,Other professional services,RADIATION TREATMENT DELIVERY,225.74,225.74
G6011,Other professional services,RADIATION TREATMENT DELIVERY,299.88,299.88
G6012,Other professional services,RADIATION TREATMENT DELIVERY,300.33,300.33
G6013,Other professional services,RADIATION TREATMENT DELIVERY,301.67,301.67
G6014,Other professional services,RADIATION TREATMENT DELIVERY,299.88,299.88
G6015,Other professional services,RADIATION TX DELIVERY IMRT,467.99,467.99
G6016,Other professional services,DELIVERY COMP IMRT,466.70,466.70
G6017,Other professional services,INTRAFRACTION TRACK MOTION,144.32,144.32
G8395,Other professional services,LVEF>=40% DOC NORMAL OR MILD,0.00,0.00
G8396,Other professional services,LVEF NOT PERFORMED,0.00,0.00
G8397,Other professional services,DIL MACULA/FUNDUS EXAM/W DOC,0.00,0.00
G8399,Other professional services,PT W/DXA RESULTS DOCUMENT,0.00,0.00
G8400,Other professional services,PT W/DXA NO RESULTS DOC,0.00,0.00
G8404,Other professional services,LOW EXTEMITY NEUR EXAM DOCUM,0.00,0.00
G8405,Other professional services,LOW EXTEMITY NEUR NOT PERFOR,0.00,0.00
G8410,Other professional services,EVAL ON FOOT DOCUMENTED,0.00,0.00
G8415,Other professional services,EVAL ON FOOT NOT PERFORMED,0.00,0.00
G8416,Other professional services,PT INELIG FOOTWEAR EVALUATIO,0.00,0.00
G8417,Other professional services,CALC BMI ABV UP PARAM F/U,0.00,0.00
G8418,Other professional services,CALC BMI BLW LOW PARAM F/U,0.00,0.00
G8419,Other professional services,CALC BMI OUT NRM PARAM NOF/U,0.00,0.00
G8420,Other professional services,CALC BMI NORM PARAMETERS,0.00,0.00
G8421,Other professional services,BMI NOT CALCULATED,0.00,0.00
G8427,Other professional services,DOCREV CUR MEDS BY ELIG CLIN,0.00,0.00
G8428,Other professional services,CUR MEDS NOT DOCUMENT,0.00,0.00
G8430,Other professional services,DOC MED RSN NO MEDREC,0.00,0.00
G8431,Other professional services,POS CLIN DEPRES SCRN F/U DOC,0.00,0.00
G8432,Other professional services,"DEP SCR NOT DOC, RNG",0.00,0.00
G8433,Other professional services,SCR FOR DEP NOT CPT DOC RSN,0.00,0.00
G8450,Other professional services,BETA-BLOC RX PT W/ABN LVEF,0.00,0.00
G8451,Other professional services,PT W/ABN LVEF INELIG B-BLOC,0.00,0.00
G8452,Other professional services,PT W/ABN LVEF B-BLOC NO RX,0.00,0.00
G8465,Other professional services,HIGH RISK RECURRENCE PRO CA,0.00,0.00
G8473,Other professional services,ACE/ARB THXPY RX'D,0.00,0.00
G8474,Other professional services,ACE/ARB NOT RX'D; DOC REAS,0.00,0.00
G8475,Other professional services,ACE/ARB THXPY NOT RX'D,0.00,0.00
G8476,Other professional services,BP SYS <140 AND DIAS <90,0.00,0.00
G8477,Other professional services,BP SYS>=140 AND/OR DIAS >=90,0.00,0.00
G8478,Other professional services,BP NOT PERFORMED/DOC,0.00,0.00
G8510,Other professional services,"SCR DEP NEG, NO PLAN REQD",0.00,0.00
G8511,Other professional services,"SCR DEP POS, NO PLAN DOC RNG",0.00,0.00
G8535,Other professional services,ELD MALTREATMENT NOT DOC,0.00,0.00
G8536,Other professional services,NO DOC ELDER MAL SCRN,0.00,0.00
G8539,Other professional services,DOC FUNCT AND CARE PLAN,0.00,0.00
G8540,Other professional services,FOA NOT DOC AS BEING PERF,0.00,0.00
G8541,Other professional services,NO DOC CUR FUNCT ASSESS,0.00,0.00
G8542,Other professional services,DOC FUNCT NO DEFICIENCIES,0.00,0.00
G8543,Other professional services,CUR FUNCT ASSES; NO CARE PLN,0.00,0.00
G8559,Other professional services,PT REF DOC OTO EVAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8560,Other professional services,PT HX ACT DRAIN PREV 90 DAYS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8561,Other professional services,PT INELIG FOR REF OTO EVAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8562,Other professional services,PT NO HX ACT DRAIN 90 D,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8563,Other professional services,PT NO REF OTO REAS NO SPEC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8564,Other professional services,PT REF OTO EVAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8565,Other professional services,VER DOC HEAR LOSS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8566,Other professional services,PT INELIG REF OTO EVAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8567,Other professional services,PT NO DOC HEAR LOSS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8568,Other professional services,PT NO REF OTOLO NO SPEC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8569,Other professional services,PROL INTUBATION REQ,0.00,0.00
G8570,Other professional services,NO PROL INTUB REQ,0.00,0.00
G8575,Other professional services,POSTOP REN FAIL,0.00,0.00
G8576,Other professional services,NO POSTOP REN FAIL,0.00,0.00
G8577,Other professional services,REOP REQ BLD GRFT OTH,0.00,0.00
G8578,Other professional services,NO REOP REQ BLD GRFT OTH,0.00,0.00
G8598,Other professional services,ASA/ANTIPLAT THER USED,0.00,0.00
G8599,Other professional services,NO ASA/ANTIPLAT THER USE RNG,0.00,0.00
G8600,Other professional services,TPA INITI W/IN 4.5 HR,0.00,0.00
G8601,Other professional services,NO ELIG TPA INIT W/IN 4.5 HR,0.00,0.00
G8602,Other professional services,NO TPA INIT W/IN 4.5 HR,0.00,0.00
G8633,Other professional services,PHARM THER OSTEO RX,0.00,0.00
G8635,Other professional services,NO PHARM THER OSTEO RX,0.00,0.00
G8647,Other professional services,RAFSCRS KI SCOR >= 0,0.00,0.00
G8648,Other professional services,RAFSCRS KI SCOR < 0,0.00,0.00
G8650,Other professional services,RAFS CRS KI NO SCOR NO RSN,0.00,0.00
G8651,Other professional services,RAFSCRS HI SCOR >=0,0.00,0.00
G8652,Other professional services,RAFSCRS HI SCOR < 0,0.00,0.00
G8654,Other professional services,RAFS CRS HI NO SCOR NO SURV,0.00,0.00
G8655,Other professional services,RAFSCRS LLFAI SCOR >= 0,0.00,0.00
G8656,Other professional services,RAFSCRS LLFAI SCOR < 0,0.00,0.00
G8658,Other professional services,RAFSCRS LLFAI NO SCOR + SURV,0.00,0.00
G8659,Other professional services,RAFSCRS LBI SCOR >= 0,0.00,0.00
G8660,Other professional services,RAFSCRS LBI SCOR < 0,0.00,0.00
G8661,Other professional services,RAFSCRS LBI NO SCOR,0.00,0.00
G8662,Other professional services,RAFS CRS LBI NO SCOR NO SURV,0.00,0.00
G8663,Other professional services,RAFSCRS SI SCOR >= 0,0.00,0.00
G8664,Other professional services,RAFSCRS SI SCOR < 0,0.00,0.00
G8666,Other professional services,RAFS CRS SI NO SCOR NO SURV,0.00,0.00
G8667,Other professional services,RAFSCRS EWH SCOR >= 0,0.00,0.00
G8668,Other professional services,RAFSCRS EWH SCOR < 0,0.00,0.00
G8670,Other professional services,RAFS CRS EWH NO SCOR NO SURV,0.00,0.00
G8694,Other professional services,LVEF <=40%,0.00,0.00
G8708,Other professional services,ANTIBIOTIC NOT PRES,0.00,0.00
G8709,Other professional services,URI EP COMPETE DIAG,0.00,0.00
G8710,Other professional services,PT PRES ANTIBIOTIC,0.00,0.00
G8711,Other professional services,PRES ANTIBX ON/WITHIN 3 DAY,0.00,0.00
G8712,Other professional services,NOT PRES ANTIBIOTIC,0.00,0.00
G8721,Other professional services,"PT, PN, HIST GRADE DOC",0.00,0.00
G8722,Other professional services,"MED REAS PT, PN, NOT DOC",0.00,0.00
G8723,Other professional services,SPEC SIT NOT PRIM TUMOR,0.00,0.00
G8724,Other professional services,"PT, PN, HIST GRADE NOT DOC",0.00,0.00
G8733,Other professional services,DOC POS ELDER MAL SCRN PLAN,0.00,0.00
G8734,Other professional services,DOC NEG ELD REQ,0.00,0.00
G8735,Other professional services,ELD MAL SCRN POS NO PLAN,0.00,0.00
G8749,Other professional services,NO SIGNS MELANOMA,0.00,0.00
G8752,Other professional services,SYS BP LESS 140,0.00,0.00
G8753,Other professional services,SYS BP > OR = 140,0.00,0.00
G8754,Other professional services,DIAS BP LESS 90,0.00,0.00
G8755,Other professional services,DIAS BP > OR = 90,0.00,0.00
G8756,Other professional services,NO BP MEASURE DOC,0.00,0.00
G8783,Other professional services,BP SCRN PERF REC INTERVAL,0.00,0.00
G8785,Other professional services,BP SCRN NO PERF AT INTERVAL,0.00,0.00
G8797,Other professional services,SPECIMEN SITE NOT ESOPHAGUS,0.00,0.00
G8798,Other professional services,SPECIMEN SITE NOT PROSTATE,0.00,0.00
G8806,Other professional services,PERF ULTRSND TO LCT PREG DOC,0.00,0.00
G8807,Other professional services,NO TA TV ULTRASND,0.00,0.00
G8808,Other professional services,"ULTRASOUND NOT PERF, RNG",0.00,0.00
G8815,Other professional services,DOC REAS NO STATIN THERAPY,0.00,0.00
G8816,Other professional services,STATIN MED PRES AT DISCH,0.00,0.00
G8817,Other professional services,DOC REAS NO STATIN MED DISCH,0.00,0.00
G8826,Other professional services,PT DISCH HOME DAY #2 EVAR,0.00,0.00
G8833,Other professional services,PT NOT DISCH HOME DAY#2 EVAR,0.00,0.00
G8834,Other professional services,PT DISCH HOME DAY #2 CEA,0.00,0.00
G8838,Other professional services,NOT DISCH HOME BY DAY #2,0.00,0.00
G8839,Other professional services,SLEEP APNEA ASSESS,0.00,0.00
G8840,Other professional services,DOC REAS NO SLEEP APNEA,0.00,0.00
G8841,Other professional services,NO SLEEP APNEA ASSESS,0.00,0.00
G8842,Other professional services,AHI RDI REI DOC WIN 2MO,0.00,0.00
G8843,Other professional services,DOC REAS NO AHI RDI REI,0.00,0.00
G8844,Other professional services,NO AHI RDI REI INI DX NO RSN,0.00,0.00
G8845,Other professional services,POS AIRWAY PRESS PRESCRIBED,0.00,0.00
G8846,Other professional services,MOD OR SEVERE OSA,0.00,0.00
G8849,Other professional services,DOC REAS NO POS AIR PRESS,0.00,0.00
G8850,Other professional services,NO PAP PRESCRIBED,0.00,0.00
G8851,Other professional services,ADHERE TX ASSESS AT LST ANN,0.00,0.00
G8854,Other professional services,REAS NO ADHERE THERAPY,0.00,0.00
G8855,Other professional services,THER NOT ASSESSED ANNUALLY,0.00,0.00
G8856,Other professional services,REF FOR OTO EVAL,0.00,0.00
G8857,Other professional services,NO ELIG REF FOR OTO EVAL,0.00,0.00
G8858,Other professional services,NOT REF FOR OTO EVAL,0.00,0.00
G8863,Other professional services,NO ASSESS BONE LOSS,0.00,0.00
G8864,Other professional services,PNEUMOCOCCAL VACCINE ADMIN,0.00,0.00
G8865,Other professional services,DOC MED REAS NO PNEUMOCOCCAL,0.00,0.00
G8866,Other professional services,DOC PT REAS NO PNEUMOCOCCAL,0.00,0.00
G8867,Other professional services,NO PNEUMOCOCCAL ADMIN,0.00,0.00
G8869,Other professional services,DOC IMMUNE HEP B ANTITNF,0.00,0.00
G8875,Other professional services,BREAST CANCER DX MIN INVSIVE,0.00,0.00
G8876,Other professional services,DOC REAS NO MIN INV DX,0.00,0.00
G8877,Other professional services,NO BRST CNCR DX MIN INVASIVE,0.00,0.00
G8878,Other professional services,SENT LYMPH NODE BIOPSY,0.00,0.00
G8880,Other professional services,SEN LYM P NODE BIOP NOT PERF,0.00,0.00
G8881,Other professional services,BRST CNCR STAGE > T1N0M0,0.00,0.00
G8882,Other professional services,NO SENT LYMPH NODE BIOPSY,0.00,0.00
G8907,Other professional services,PT DOC NO EVENTS ON DISCHARG,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8908,Other professional services,PT DOC W BURN PRIOR TO D/C,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8909,Other professional services,PT DOC NO BURN PRIOR TO D/C,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8910,Other professional services,PT DOC TO HAVE FALL IN ASC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8911,Other professional services,PT DOC NO FALL IN ASC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8912,Other professional services,PT DOC WITH WRONG EVENT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8913,Other professional services,PT DOC NO WRONG EVENT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8914,Other professional services,PT TRANS TO HOSP POST D/C,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8915,Other professional services,PT NOT TRANS TO HOSP AT D/C,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8916,Other professional services,PT W IV AB GIVEN ON TIME,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8917,Other professional services,PT W IV AB NOT GIVEN ON TIME,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8918,Other professional services,PT W/O PREOP ORDER IV AB PRO,UCR or Pay Per Agreement,UCR or Pay Per Agreement
G8923,Other professional services,LVEF <= 40% OR LVSD,0.00,0.00
G8924,Other professional services,SPIR RES DOC FEV1/FVC<70%,0.00,0.00
G8934,Other professional services,LVEF <=40% OR DEP LV SYS FCN,0.00,0.00
G8935,Other professional services,RX ACE OR ARB THERAPY,0.00,0.00
G8936,Other professional services,PT NOT ELIGIBLE ACE/ARB,0.00,0.00
G8937,Other professional services,NO RX ACE/ARB THERAPY,0.00,0.00
G8942,Other professional services,DOC FCN/CARE PLAN W/30 DAYS,0.00,0.00
G8944,Other professional services,AJCC MEL CNR STG 0 - IIC,0.00,0.00
G8946,Other professional services,MIBM BUT NO DX OF BREAST CA,0.00,0.00
G8950,Other professional services,"PRE-HTN OR HTN DOC, F/U INDC",0.00,0.00
G8952,Other professional services,"PRE-HTN/HTN, NO F/U, NOT GVN",0.00,0.00
G8955,Other professional services,MOST RECENT ASSESS VOL MGMT,0.00,0.00
G8956,Other professional services,PT RCV HEDIA OUTPT DYLS FAC,0.00,0.00
G8958,Other professional services,ASSESS VOL MGMT NOT DOC,0.00,0.00
G8961,Other professional services,CSIT LOWRISK SURG PTS PREOP,0.00,0.00
G8962,Other professional services,CSIT ON PT ANY REAS 30 DAYS,0.00,0.00
G8967,Other professional services,WARF OR OTHER FDA DRUG PRESC,0.00,0.00
G8968,Other professional services,DOC MED NOT PRESB,0.00,0.00
G8969,Other professional services,DOC PT RSN NO PRESC WARF/FDA,0.00,0.00
G8970,Other professional services,NO RSK FAC OR 1 MOD RISK TE,0.00,0.00
G9001,Other professional services,"MCCD, INITIAL RATE",UCR or Pay Per Agreement,UCR or Pay Per Agreement
G9002,Other professional services,"MCCD,MAINTENANCE RATE",UCR or Pay Per Agreement,UCR or Pay Per Agreement
G9003,Other professional services,"MCCD, RISK ADJ HI, INITIAL",UCR or Pay Per Agreement,UCR or Pay Per Agreement
G9004,Other professional services,"MCCD, RISK ADJ LO, INITIAL",UCR or Pay Per Agreement,UCR or Pay Per Agreement
G9005,Other professional services,"MCCD, RISK ADJ, MAINTENANCE",UCR or Pay Per Agreement,UCR or Pay Per Agreement
G9006,Other professional services,"MCCD, HOME MONITORING",UCR or Pay Per Agreement,UCR or Pay Per Agreement
G9007,Other professional services,"MCCD, SCH TEAM CONF",UCR or Pay Per Agreement,UCR or Pay Per Agreement
G9008,Other professional services,"MCCD,PHYS COOR-CARE OVRSGHT",UCR or Pay Per Agreement,UCR or Pay Per Agreement
